,crime,number,date,location,beat,neighborhood,npu,lat,long
1958,LARCENY-FROM VEHICLE,102872198,10/14/2010,742 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77477,-84.36408
1959,LARCENY-FROM VEHICLE,102872204,10/14/2010,PIEDMONT AVE NE / 12TH ST NE,503,Midtown,E,33.78426,-84.37891
1960,LARCENY-FROM VEHICLE,102872243,10/14/2010,646 DILL AVE SW,301,Capitol View,X,33.71808,-84.40874
1961,LARCENY-FROM VEHICLE,102872300,10/14/2010,1968 PEACHTREE RD NW,207,,E,33.80901,-84.39342
1962,BURGLARY-RESIDENCE,102872304,10/14/2010,1783 JOHNSON RD NW,110,Rockdale,G,33.78541,-84.44539
1963,BURGLARY-NONRES,102872309,10/14/2010,2521 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82412,-84.36713
1964,LARCENY-FROM VEHICLE,102872395,10/14/2010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
1965,AGG ASSAULT,102872401,10/14/2010,2980 DELMAR LN NW,111,,I,33.75517,-84.48481
1966,LARCENY-NON VEHICLE,102872402,10/14/2010,311 NELSON ST SW,507,Castleberry Hill,M,33.75203,-84.39808
1967,LARCENY-NON VEHICLE,102872406,10/14/2010,299 MORELAND AVE NE,602,Candler Park,N,33.76551,-84.34912
1968,BURGLARY-RESIDENCE,102872442,10/14/2010,3097 EASTBROOKE TER,414,Princeton Lakes,P,33.67297,-84.51083
1969,ROBBERY-RESIDENCE,102872491,10/14/2010,1112 MCKENNA PL SE,612,East Atlanta,W,33.72763,-84.32868
1970,ROBBERY-PEDESTRIAN,102872533,10/14/2010,475 MORELAND AVE SE,606,Ormewood Park,W,33.74112,-84.34961
1971,LARCENY-NON VEHICLE,102872570,10/14/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
1972,LARCENY-NON VEHICLE,102872605,10/14/2010,550 DUTCH VALLEY RD NE,213,Morningside/Lenox Park,F,33.79219,-84.36903
1973,AGG ASSAULT,102872627,10/14/2010,3594 ROU ROYAL AVE SW,413,Rue Royal,P,33.68497,-84.50602
1974,LARCENY-FROM VEHICLE,102872630,10/14/2010,3927 KENNER DR SW,407,Adamsville,H,33.75554,-84.50853
1975,LARCENY-FROM VEHICLE,102872633,10/14/2010,RANDOLPH ST NE / HIGHLAND AVE NE,603,Old Fourth Ward,M,33.76132,-84.36784
1976,LARCENY-FROM VEHICLE,102872641,10/14/2010,360 PHARR RD NE,206,Buckhead Village,B,33.83752,-84.37574
1977,AUTO THEFT,102878038,10/14/2010,NATIONAL CAR RENTAL @ 2351 Rental Car Center Pkwy,50,,,33.63829,-84.45402
1978,LARCENY-FROM VEHICLE,102861270,10/14/2010,1058 HOWELL MILL RD,501,Home Park,E,33.78285,-84.41126
1979,BURGLARY-RESIDENCE,102861323,10/13/2010,1217 EPWORTH ST SW,403,Venetian Hills,S,33.72184,-84.43102
1980,LARCENY-FROM VEHICLE,102861366,10/13/2010,674 BROWNWOOD AVE SE,612,East Atlanta,W,33.73591,-84.34783
1981,LARCENY-NON VEHICLE,102861423,10/13/2010,1297 LORENZO DR SW,403,Venetian Hills,S,33.71966,-84.43285
1982,LARCENY-NON VEHICLE,102861465,10/13/2010,650 PONCE DE LEON AVE NE,506,Midtown,E,33.77469,-84.36561
1983,AUTO THEFT,102861472,10/13/2010,1139 NORTH AVE NW @MADDOX PARK,106,Bankhead,K,33.76998,-84.42703
1984,AUTO THEFT,102861475,10/13/2010,2521 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7759,-84.46841
1985,LARCENY-FROM VEHICLE,102861485,10/13/2010,3656 TUXEDO RD NW,202,Tuxedo Park,A,33.85517,-84.39899
1986,LARCENY-FROM VEHICLE,102861497,10/13/2010,1820 MARY DELL DR SE,612,East Atlanta,W,33.72385,-84.32906
1987,LARCENY-NON VEHICLE,102861505,10/13/2010,121 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68119,-84.39236
1988,LARCENY-FROM VEHICLE,102861534,10/13/2010,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85252,-84.36116
1989,BURGLARY-RESIDENCE,102861554,10/13/2010,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
1990,LARCENY-NON VEHICLE,102861611,10/13/2010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
1991,LARCENY-NON VEHICLE,102861619,10/13/2010,1830 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.80924,-84.36251
1992,AUTO THEFT,102861635,10/13/2010,541 10TH ST NW,501,Home Park,E,33.78166,-84.40506
1993,AUTO THEFT,102861638,10/13/2010,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76479,-84.4579
1994,LARCENY-NON VEHICLE,102861651,10/13/2010,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328
1995,LARCENY-NON VEHICLE,102861658,10/13/2010,11 KIRKWOOD RD NE,610,Kirkwood,O,33.75161,-84.32156
1996,ROBBERY-PEDESTRIAN,102861695,10/13/2010,2001 SYLVAN RD SW;,306,Sylvan Hills,X,33.70063,-84.41993
1997,ROBBERY-PEDESTRIAN,102861723,10/13/2010,MYRTLE ST NE / PONCE DE LEON AVE NE,505,Midtown,E,33.77258,-84.38026
1998,LARCENY-FROM VEHICLE,102861832,10/13/2010,800 HALL ST NW,109,Center Hill,J,33.77693,-84.46616
1999,LARCENY-FROM VEHICLE,102861878,10/13/2010,324 4TH ST NE,506,Midtown,E,33.77451,-84.37665
2000,LARCENY-NON VEHICLE,102861884,10/13/2010,999 PEACHTREE ST NE,503,Midtown,E,33.78099,-84.38298
2001,LARCENY-NON VEHICLE,102861898,10/13/2010,2446 OZARK TRL SW,413,Arlington Estates,P,33.68851,-84.54417
2002,LARCENY-FROM VEHICLE,102861942,10/13/2010,405 10TH ST NE,503,Midtown,E,33.78153,-84.37391
2003,LARCENY-NON VEHICLE,102861964,10/13/2010,1387 DESOTO AVE SW,301,Capitol View,X,33.71703,-84.4121
2004,LARCENY-NON VEHICLE,102861992,10/13/2010,564 PARKWAY DR NE,603,Old Fourth Ward,M,33.76976,-84.37305
2005,AGG ASSAULT,102861994,10/13/2010,2043 REYNOLDS DR SW,307,Lakewood Heights,Y,33.69866,-84.40182
2006,AUTO THEFT,102862036,10/13/2010,1040 REUNION PL SW,412,Midwest Cascade,Q,33.7249,-84.52832
2007,BURGLARY-RESIDENCE,102862041,10/13/2010,1074 1ST ST NW,109,Carey Park,G,33.78428,-84.4672
2008,BURGLARY-RESIDENCE,102862051,10/13/2010,335 HOWELL DR SW,407,Adamsville,H,33.75473,-84.50657
2009,ROBBERY-PEDESTRIAN,102862058,10/13/2010,1635 OAK KNOLL CIR SE,307,Lakewood Heights,Y,33.70951,-84.37753
2010,BURGLARY-RESIDENCE,102862060,10/13/2010,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161
2011,AUTO THEFT,102862074,10/13/2010,1894 CAMPBELLTON RD SW,410,Pomona Park,R,33.70859,-84.45117
2012,LARCENY-FROM VEHICLE,102862114,10/13/2010,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389
2013,LARCENY-FROM VEHICLE,102862125,10/13/2010,730 PARSONS ST SW,101,Atlanta University Center,T,33.75084,-84.41141
2014,LARCENY-NON VEHICLE,102862128,10/13/2010,1210 CAROLINE ST NE,609,Edgewood,O,33.75938,-84.34863
2015,BURGLARY-RESIDENCE,102862130,10/13/2010,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623
2016,LARCENY-FROM VEHICLE,102862134,10/13/2010,1544 PIEDMONT AVE NE @ANSLEY MALL,213,Piedmont Heights,F,33.79789,-84.37101
2017,AGG ASSAULT,102862141,10/13/2010,94 PRYOR ST SW,511,Downtown,M,33.75199,-84.39024
2018,LARCENY-NON VEHICLE,102862142,10/13/2010,833 SMITH ST SW,302,Pittsburgh,V,33.73224,-84.40108
2019,LARCENY-NON VEHICLE,102862144,10/13/2010,415 ARMOUR DR NE,212,,F,33.81267,-84.37412
2020,ROBBERY-COMMERCIAL,102862147,10/13/2010,2779 LAKEWOOD AVE SW,306,Sylvan Hills,X,33.69729,-84.40943
2021,LARCENY-FROM VEHICLE,102862156,10/13/2010,194 ROACH ST SW,101,The Villages at Castleberry H,T,33.74914,-84.40966
2022,BURGLARY-RESIDENCE,102862164,10/13/2010,2359 BEECHER RD SW,406,Cascade Avenue/Road,S,33.72492,-84.46438
2023,LARCENY-NON VEHICLE,102862167,10/13/2010,3390 FAIRBURN RD. SW,414,Huntington,P,33.66257,-84.52847
2024,LARCENY-FROM VEHICLE,102862168,10/13/2010,668 GREENSFERRY AVE SW,101,Atlanta University Center,T,33.74688,-84.41003
2025,LARCENY-FROM VEHICLE,102862176,10/13/2010,PEACHTREE ST NE / ELLIS ST NE,510,Downtown,M,33.75843,-84.38761
2026,LARCENY-FROM VEHICLE,102862182,10/13/2010,PONCE DE LEON AVE NE / PENN AVE NE,505,Midtown,E,33.77258,-84.37904
2027,LARCENY-FROM VEHICLE,102862210,10/13/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
2028,BURGLARY-RESIDENCE,102862238,10/13/2010,4424 PARK CENTER DR SW,412,Midwest Cascade,Q,33.72912,-84.52986
2029,AGG ASSAULT,102862254,10/13/2010,208 12TH ST NE,503,Midtown,E,33.78438,-84.38058
2030,LARCENY-NON VEHICLE,102862287,10/13/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
2031,LARCENY-FROM VEHICLE,102862290,10/13/2010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
2032,ROBBERY-PEDESTRIAN,102862302,10/13/2010,1360 SHARON ST NW,105,Hunter Hills,K,33.75453,-84.4318
2033,LARCENY-FROM VEHICLE,102862316,10/13/2010,1783 CHESHIRE BRIDGE RD,213,Morningside/Lenox Park,F,33.80814,-84.36397
2034,AGG ASSAULT,102862319,10/13/2010,349 MATHEWSON PL SW,404,Westview,T,33.74563,-84.43654
2035,LARCENY-FROM VEHICLE,102860026,10/13/2010,751 WYLIE ST SE,606,Cabbagetown,N,33.75219,-84.36259
2036,BURGLARY-RESIDENCE,102860042,10/13/2010,1247 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76361,-84.42842
2037,AGG ASSAULT,102860047,10/13/2010,532 CLEVELAND AVE SE,311,Hammond Park,X,33.68116,-84.4059
2038,LARCENY-NON VEHICLE,102860048,10/13/2010,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77067,-84.38023
2039,BURGLARY-NONRES,102860057,10/13/2010,1289 EASON ST NW,105,Hunter Hills,K,33.75939,-84.43152
2040,ROBBERY-PEDESTRIAN,102860103,10/13/2010,900 JOSEPH E BOONE BLVD NW,102,Vine City,L,33.76337,-84.41688
2041,BURGLARY-NONRES,102860230,10/13/2010,1310 WHITE ST SW,402,West End,T,33.73712,-84.43044
2042,LARCENY-FROM VEHICLE,102860238,10/13/2010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
2043,LARCENY-FROM VEHICLE,102860354,10/13/2010,190 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75945,-84.38617
2044,BURGLARY-NONRES,102860376,10/13/2010,3548 BOULDER PARK DR SW,407,Fairburn Mays,H,33.74964,-84.50388
2045,LARCENY-NON VEHICLE,102860385,10/13/2010,3225 PEACHTREE RD NE,206,Buckhead Village,B,33.84245,-84.37269
2046,LARCENY-FROM VEHICLE,102860399,10/13/2010,1637 CARROLL DR NW,203,Hills Park,D,33.80268,-84.44144
2047,LARCENY-FROM VEHICLE,102860417,10/13/2010,2799 PIEDMONT RD NE,211,Peachtree Park,B,33.83047,-84.36763
2048,BURGLARY-NONRES,102860426,10/13/2010,1038 WHITE ST SW,401,West End,T,33.73195,-84.42191
2049,LARCENY-FROM VEHICLE,102860446,10/13/2010,1035 N VIRGINIA AVE NE,601,Virginia Highland,F,33.78288,-84.3492
2050,LARCENY-FROM VEHICLE,102860543,10/13/2010,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161
2051,BURGLARY-RESIDENCE,102860575,10/13/2010,3324 PEACHTREE RD,208,North Buckhead,B,33.84595,-84.36852
2052,BURGLARY-RESIDENCE,102860623,10/13/2010,3924 KENNER DR SW,407,Adamsville,H,33.7556,-84.5091
2053,AUTO THEFT,102860633,10/13/2010,2157 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81401,-84.35061
2054,AUTO THEFT,102860643,10/13/2010,180 JACKSON ST NE;,604,Sweet Auburn,M,33.75932,-84.37442
2055,LARCENY-FROM VEHICLE,102860677,10/13/2010,779 STOKESWOOD AVE S.E.,612,East Atlanta,W,33.73322,-84.34497
2056,BURGLARY-RESIDENCE,102860698,10/13/2010,1819 KING GEORGE LN SW,412,Kings Forest,P,33.70505,-84.5156
2057,LARCENY-NON VEHICLE,102860717,10/13/2010,50 MT. ZION RD,312,Glenrose Heights,Z,33.67273,-84.39067
2058,BURGLARY-RESIDENCE,102860788,10/13/2010,1829 KING GEORGE LN SW,412,Kings Forest,P,33.70477,-84.5156
2059,BURGLARY-RESIDENCE,102860793,10/13/2010,1646 ROGERS AVE SW,404,Westview,T,33.73706,-84.44153
2060,AUTO THEFT,102860797,10/13/2010,341 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77222,-84.37559
2061,LARCENY-NON VEHICLE,102860841,10/13/2010,1650 ALTADENA PL SW,404,Cascade Avenue/Road,S,33.72979,-84.44195
2062,LARCENY-FROM VEHICLE,102860869,10/13/2010,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81235,-84.36578
2063,BURGLARY-RESIDENCE,102860873,10/13/2010,2060 ALISON CT SW,410,Campbellton Road,R,33.70062,-84.45594
2064,LARCENY-NON VEHICLE,102860899,10/13/2010,1560 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.71194,-84.40422
2065,LARCENY-NON VEHICLE,102860948,10/13/2010,1735 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70656,-84.40871
2066,LARCENY-NON VEHICLE,102861014,10/13/2010,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77067,-84.38023
2067,LARCENY-FROM VEHICLE,102861032,10/13/2010,2231 CAMPBELLTON RD SW,409,Adams Park,R,33.70537,-84.46151
2068,AUTO THEFT,102861057,10/13/2010,2367 CASCADE ROAD S.W.,406,Cascade Heights,I,33.72166,-84.4657
2069,LARCENY-FROM VEHICLE,102861058,10/13/2010,305 BROMACK DR SE,310,Browns Mill Park,Z,33.68819,-84.37942
2070,BURGLARY-RESIDENCE,102861069,10/13/2010,1807 OAKMONT DR NW,108,Dixie Hills,J,33.75902,-84.44618
2071,BURGLARY-RESIDENCE,102861110,10/13/2010,592 COOPER ST SW,303,Mechanicsville,V,33.7388,-84.39691
2072,LARCENY-NON VEHICLE,102861149,10/13/2010,BROAD ST NW / WALTON ST NW,508,Downtown,M,33.75544,-84.38979
2073,LARCENY-NON VEHICLE,102861152,10/13/2010,2018 BOLTON RD NW,203,Whittier Mill Village,D,33.81116,-84.47703
2074,AUTO THEFT,102861158,10/13/2010,1079 MARIETTA BLVD NW,106,Knight Park/Howell Station,K,33.7839,-84.4285
2075,LARCENY-FROM VEHICLE,102861165,10/13/2010,2069 DELANO DR NE,610,Kirkwood,O,33.75506,-84.31986
2076,AUTO THEFT,102861214,10/13/2010,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81806,-84.35082
2077,LARCENY-NON VEHICLE,102861263,10/13/2010,69 MELDON AVE SE,305,South Atlanta,Y,33.71128,-84.3862
2078,LARCENY-NON VEHICLE,102851091,10/13/2010,207 PEACHTREE ST,512,Downtown,M,33.74906,-84.39503
2079,LARCENY-FROM VEHICLE,102862411,10/13/2010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101
2080,LARCENY-NON VEHICLE,102868023,10/13/2010,CONCOURSE A @8700 SPINE RD ; DOMINO''S PIZZA,50,,,33.64085,-84.43915
2081,LARCENY-FROM VEHICLE,102862391,10/13/2010,3330 MARTIN L KING JR DR SW,407,Adamsville,H,33.75392,-84.49736
2082,LARCENY-NON VEHICLE,102862341,10/13/2010,2423 MARTIN L KING JR DR,108,Florida Heights,I,33.75183,-84.46623
2083,BURGLARY-RESIDENCE,102862368,10/13/2010,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161
2084,AGG ASSAULT,102852330,10/13/2010,ARNO DR NW / HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79919,-84.47004
2085,LARCENY-FROM VEHICLE,102852363,10/12/2010,300 MARTIN L KING JR DR SE,605,Oakland,W,33.74803,-84.37875
2086,LARCENY-FROM VEHICLE,102842167,10/12/2010,300 MARTIN L KING JR DR SE,605,Oakland,W,33.74803,-84.37875
2087,BURGLARY-RESIDENCE,102851097,10/12/2010,1708 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70808,-84.37768
2088,LARCENY-FROM VEHICLE,102851101,10/12/2010,800 PEACHTREE ST NE,505,Midtown,E,33.77659,-84.38459
2089,BURGLARY-RESIDENCE,102851113,10/12/2010,2366 SAINT JAMES DR NW,109,Almond Park,G,33.78505,-84.46586
2090,ROBBERY-PEDESTRIAN,102851126,10/12/2010,1233 MCPHERSON AVE SE,612,East Atlanta,W,33.7435,-84.34716
2091,AUTO THEFT,102851154,10/12/2010,749 JEFFERSON AVE,309,Perkerson,X,33.68582,-84.41351
2092,LARCENY-NON VEHICLE,102851174,10/12/2010,675 W PEACHTREE ST NE,505,Midtown,E,33.773,-84.38723
2093,ROBBERY-PEDESTRIAN,102851181,10/12/2010,884 LAKE AVE NE ,602,Inman Park,N,33.7615,-84.35808
2094,AGG ASSAULT,102851190,10/12/2010,1336 WILLOW TRL SW,408,Venetian Hills,S,33.71894,-84.43953
2095,ROBBERY-RESIDENCE,102851195,10/12/2010,675 SKIPPER DR. NW,112,Collier Heights,I,33.77368,-84.49015
2096,LARCENY-NON VEHICLE,102851198,10/12/2010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101
2097,BURGLARY-NONRES,102851210,10/12/2010,489 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75411,-84.37155
2098,AGG ASSAULT,102851242,10/12/2010,357 ADELLE ST SE,307,Lakewood Heights,Y,33.70043,-84.37725
2099,LARCENY-NON VEHICLE,102851249,10/12/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
2100,LARCENY-FROM VEHICLE,102851277,10/12/2010,PEACHTREE ST NE / 3RD ST NE,505,Midtown,E,33.77368,-84.38477
2101,BURGLARY-RESIDENCE,102851293,10/12/2010,2218 STAR MIST DR SW,409,Southwest,R,33.69601,-84.4906
2102,LARCENY-NON VEHICLE,102851296,10/12/2010,824 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77282,-84.41423
2103,LARCENY-FROM VEHICLE,102851303,10/12/2010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
2104,AUTO THEFT,102851325,10/12/2010,BOLTON RD NW / JAMES JACKSON PKWY NW,203,Riverside,D,33.81084,-84.47645
2105,AUTO THEFT,102851330,10/12/2010,49  BOULEVARD ,604,Sweet Auburn,M,33.75377,-84.37317
2106,BURGLARY-RESIDENCE,102851380,10/12/2010,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755
2107,ROBBERY-RESIDENCE,102851412,10/12/2010,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75274,-84.40069
2108,LARCENY-NON VEHICLE,102851427,10/12/2010,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099
2109,LARCENY-FROM VEHICLE,102851454,10/12/2010,435 10TH ST NE,503,Midtown,E,33.78168,-84.37298
2110,LARCENY-NON VEHICLE,102851476,10/12/2010,2147 PERKERSON RD SW,309,Perkerson,X,33.69556,-84.41223
2111,LARCENY-NON VEHICLE,102851498,10/12/2010,231 18TH ST NW,501,Atlantic Station,E,33.79275,-84.39544
2112,LARCENY-NON VEHICLE,102851589,10/12/2010,1664 N ROCK SPRINGS RD NE,213,Morningside/Lenox Park,F,33.80003,-84.36316
2113,LARCENY-NON VEHICLE,102851607,10/12/2010,135 ERICSON ST SE,609,Edgewood,O,33.74972,-84.34483
2114,LARCENY-NON VEHICLE,102851617,10/12/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
2115,AGG ASSAULT,102851627,10/12/2010,1125 CASCADE CIR,403,Cascade Avenue/Road,S,33.72571,-84.44896
2116,BURGLARY-RESIDENCE,102851674,10/12/2010,1747 BOLTON RD NW,113,Bolton Hills,G,33.80233,-84.48496
2117,AGG ASSAULT,102851684,10/12/2010,1401 DONALD LEE HOLLOWELL PKWY NW,106,,J,33.77141,-84.43377
2118,LARCENY-NON VEHICLE,102851687,10/12/2010,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532
2119,LARCENY-NON VEHICLE,102851692,10/12/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
2120,BURGLARY-RESIDENCE,102851696,10/12/2010,1294 HANOVER WEST DR NW,204,Hanover West,C,33.82177,-84.43002
2121,LARCENY-FROM VEHICLE,102851702,10/12/2010,MEMORIAL DR SE / 2ND AVE SE,611,East Lake,O,33.74728,-84.30976
2122,LARCENY-FROM VEHICLE,102851769,10/12/2010,1235 CAROLINE ST NE,609,Edgewood,O,33.75789,-84.34797
2123,LARCENY-NON VEHICLE,102851813,10/12/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
2124,LARCENY-FROM VEHICLE,102851847,10/12/2010,398 PARKWAY DR NE,603,Old Fourth Ward,M,33.76531,-84.37383
2125,LARCENY-FROM VEHICLE,102851900,10/12/2010,15TH ST NE / PIEDMONT AVE NE,502,,E,33.7882,-84.37753
2126,BURGLARY-RESIDENCE,102851909,10/12/2010,406 LINDSEY DR SE,310,Lakewood,Z,33.69489,-84.37574
2127,LARCENY-FROM VEHICLE,102851916,10/12/2010,15TH ST NE / PEACHTREE ST NE,502,Ansley Park,E,33.78888,-84.38225
2128,AGG ASSAULT,102851919,10/12/2010,1483 ARTHUR LANGFORD JR PL,307,Joyland,Y,33.71349,-84.3984
2129,BURGLARY-RESIDENCE,102851926,10/12/2010,390 17TH ST NW,501,Atlantic Station,E,33.7903,-84.39976
2130,BURGLARY-RESIDENCE,102851952,10/12/2010,2750 ALTAVIEW DR SE,312,Rosedale Heights,Z,33.67966,-84.3815
2131,BURGLARY-RESIDENCE,102851955,10/12/2010,3522 DALE LN SW,412,Meadowbrook Forest,P,33.69248,-84.50478
2132,AGG ASSAULT,102851958,10/12/2010,1097 WESTVIEW DR SW,104,Ashview Heights,T,33.74737,-84.42375
2133,LARCENY-NON VEHICLE,102851984,10/12/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
2134,LARCENY-FROM VEHICLE,102852007,10/12/2010,61 ELLIOTT ST SW,507,Castleberry Hill,M,33.75299,-84.39847
2135,BURGLARY-NONRES,102852008,10/12/2010,1890 METROPOLITAN PKWY,306,Sylvan Hills,X,33.70286,-84.40807
2136,LARCENY-FROM VEHICLE,102852011,10/12/2010,3334 PEACHTREE RD/1 BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
2137,RAPE,102852047,10/12/2010,2788 DEFOORS FERRY RD NW,201,,C,33.82114,-84.44713
2138,LARCENY-FROM VEHICLE,102852049,10/12/2010,929 PEACHTREE ST NE,503,Midtown,E,33.78006,-84.38397
2139,LARCENY-FROM VEHICLE,102852086,10/12/2010,1920 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80733,-84.41318
2140,BURGLARY-RESIDENCE,102852088,10/12/2010,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
2141,BURGLARY-RESIDENCE,102852098,10/12/2010,335 GREEN CUP CT SW,412,Midwest Cascade,Q,33.72801,-84.53846
2142,LARCENY-FROM VEHICLE,102852104,10/12/2010,100 10TH ST NW,503,Midtown,E,33.78143,-84.39037
2143,BURGLARY-RESIDENCE,102852120,10/12/2010,3041 LANDRUM DR SW,409,Southwest,R,33.70649,-84.48782
2144,LARCENY-FROM VEHICLE,102852148,10/12/2010,709 PERSHING AVE SE,607,Boulevard Heights,W,33.72174,-84.3648
2145,LARCENY-FROM VEHICLE,102852189,10/12/2010,19 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.75522,-84.41743
2146,AGG ASSAULT,102852203,10/12/2010,727 MARTIN ST SE,304,Summerhill,V,33.7344,-84.38417
2147,LARCENY-FROM VEHICLE,102852221,10/12/2010,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835
2148,ROBBERY-PEDESTRIAN,102852235,10/12/2010,44 MEMORIAL DR SE,605,Capitol Gateway,V,33.74701,-84.38631
2149,LARCENY-NON VEHICLE,102852259,10/12/2010,73 MOURY AVE SE,305,South Atlanta,Y,33.71291,-84.38634
2150,LARCENY-FROM VEHICLE,102852282,10/12/2010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77907,-84.4105
2151,LARCENY-NON VEHICLE,102852297,10/12/2010,1122 WILLOWOOD LN SW,412,Midwest Cascade,Q,33.72472,-84.53923
2152,LARCENY-FROM VEHICLE,102850003,10/12/2010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
2153,AGG ASSAULT,102850030,10/12/2010,WYLIE ST SE / CLEVELAND ST SE,606,Reynoldstown,N,33.75243,-84.35045
2154,ROBBERY-PEDESTRIAN,102850066,10/12/2010,PINE ST NE / COURTLAND ST NE,509,Downtown,M,33.76746,-84.38408
2155,LARCENY-FROM VEHICLE,102850102,10/12/2010,534 LEE ST SW,401,West End,T,33.74024,-84.41396
2156,AGG ASSAULT,102850112,10/12/2010,196 PEACHTREE WAY NE,206,Peachtree Heights East,B,33.82732,-84.38091
2157,AUTO THEFT,102850117,10/12/2010,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
2158,BURGLARY-RESIDENCE,102850191,10/12/2010,3140 PARC CT SW,409,Southwest,R,33.69853,-84.4958
2159,BURGLARY-RESIDENCE,102850196,10/12/2010,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425
2160,BURGLARY-NONRES,102850210,10/12/2010,1339 MARIETTA BLVD NW,203,Blandtown,D,33.79218,-84.43022
2161,ROBBERY-PEDESTRIAN,102850226,10/12/2010,WILLIAMS ST NW / HARRIS ST NW,508,Downtown,M,33.76098,-84.39055
2162,LARCENY-NON VEHICLE,102850230,10/12/2010,1072 CASADE,403,Cascade Avenue/Road,S,33.72605,-84.44581
2163,AUTO THEFT,102850249,10/12/2010,2989 CAMPBELLTON RD SW,409,Southwest,R,33.69655,-84.48597
2164,LARCENY-FROM VEHICLE,102850269,10/12/2010,1166 ORME CIR,601,Virginia Highland,F,33.78684,-84.3658
2165,AUTO THEFT,102850284,10/12/2010,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262
2166,AUTO THEFT,102850317,10/12/2010,373 PARK AVE SE,605,Grant Park,W,33.74437,-84.37003
2167,LARCENY-FROM VEHICLE,102850352,10/12/2010,1745 DELOWE DR SW,409,Adams Park,R,33.70735,-84.45853
2168,BURGLARY-RESIDENCE,102850394,10/12/2010,1095 WHITE OAK AVE SW,402,Oakland City,S,33.7258,-84.42324
